127.0.0.1 - - [30/Sep/2021:19:03:59 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:04:01 +0530] "GET /HelpDeskDemo/useraccount.jsp HTTP/1.1" 200 594
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:04:11 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:04:11 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 200 3219
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:04:11 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:04:11 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:04:11 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:04:30 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 1068
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:43:33 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:43:33 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:43:33 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:43:33 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:43:48 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3053
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:43:48 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:45:43 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:45:43 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:45:43 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:45:43 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:45:55 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:45:55 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:48:35 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:48:35 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:48:35 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:48:35 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:48:46 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3063
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:48:46 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:50:10 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:50:10 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:50:10 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:50:10 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:50:20 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:50:20 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:51:39 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:51:39 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:51:39 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:51:39 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:51:54 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3074
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:51:54 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [30/Sep/2021:19:52:08 +0530] "GET /HelpDeskDemo/updateuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:45 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:45 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:45 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:45 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:56 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3096
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:18:56 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:12 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:12 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:12 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:12 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:22 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:20:22 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2327
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:50 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:50 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:50 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:50 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:58 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3065
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:21:58 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:37 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:37 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:37 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:37 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:46 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3073
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:22:46 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:23:28 +0530] "GET /HelpDeskDemo/deleteuser.jsp?iduser=1&name=Lakshika+de+Silva&email=lakshika%40gmail.com&phone=0711230549&username=CID001&password=lak123 HTTP/1.1" 200 870
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:26:31 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:26:31 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:26:31 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:26:31 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:26:43 +0530] "POST /HelpDeskDemo/log HTTP/1.1" 200 3212
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:26:43 +0530] "GET /HelpDeskDemo/useraccount.css HTTP/1.1" 200 2315
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:28:39 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1887
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:28:39 +0530] "GET /HelpDeskDemo/bubble.png HTTP/1.1" 404 778
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:28:39 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [30/Sep/2021:20:28:39 +0530] "GET /HelpDeskDemo/background.png HTTP/1.1" 404 782
