127.0.0.1 - - [12/Dec/2021:19:37:55 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:37:55 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:37:56 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 200 15424
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:37:56 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:37:56 +0530] "GET /HelpDeskDemo/images/bubble.png HTTP/1.1" 200 160282
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:37:56 +0530] "GET /HelpDeskDemo/images/back.jpg HTTP/1.1" 200 85026
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:08 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:08 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:08 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 200 15424
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:08 +0530] "GET /HelpDeskDemo/images/bubble.png HTTP/1.1" 200 160282
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:08 +0530] "GET /HelpDeskDemo/images/back.jpg HTTP/1.1" 200 85026
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:08 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:14 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:14 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:14 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 200 15424
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:14 +0530] "GET /HelpDeskDemo/images/bubble.png HTTP/1.1" 200 160282
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /HelpDeskDemo/images/back.jpg HTTP/1.1" 200 85026
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 200 15424
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /HelpDeskDemo/images/bubble.png HTTP/1.1" 200 160282
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /HelpDeskDemo/images/back.jpg HTTP/1.1" 200 85026
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:15 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Dec/2021:19:38:16 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1949
