127.0.0.1 - - [24/Jan/2022:15:14:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:30 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:30 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 200 15424
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:30 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:30 +0530] "GET /HelpDeskDemo/images/bubble.png HTTP/1.1" 200 160282
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:31 +0530] "GET /HelpDeskDemo/images/back.jpg HTTP/1.1" 200 85026
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:40 +0530] "GET /HelpDeskDemo/login.jsp HTTP/1.1" 200 1949
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:40 +0530] "GET /HelpDeskDemo/animation.css HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:40 +0530] "GET /HelpDeskDemo/images/logo.png HTTP/1.1" 200 15424
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:40 +0530] "GET /HelpDeskDemo/images/bubble.png HTTP/1.1" 200 160282
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:40 +0530] "GET /HelpDeskDemo/images/back.jpg HTTP/1.1" 200 85026
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:14:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/userInsert.jsp HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/images/menu.png HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/register.css HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/images/fb.png HTTP/1.1" 200 1452
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/images/tw.png HTTP/1.1" 200 1947
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/images/ig.png HTTP/1.1" 200 1877
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/images/info.png HTTP/1.1" 200 1762
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:15:00 +0530] "GET /HelpDeskDemo/images/share.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:16:29 +0530] "POST /HelpDeskDemo/insert HTTP/1.1" 200 1329
0:0:0:0:0:0:0:1 - - [24/Jan/2022:15:16:29 +0530] "GET /HelpDeskDemo/success.css HTTP/1.1" 200 2184
